﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02GB001,1,1913/07/08,15.3,
02GB001,1,1913/07/09,14.2,
02GB001,1,1913/07/10,14.7,
02GB001,1,1913/07/11,13.7,
02GB001,1,1913/07/12,14.2,
02GB001,1,1913/07/13,13.7,
02GB001,1,1913/07/14,14.2,
02GB001,1,1913/07/15,14.0,
02GB001,1,1913/07/16,13.0,
02GB001,1,1913/07/17,14.7,
02GB001,1,1913/07/18,13.0,
02GB001,1,1913/07/19,11.3,
02GB001,1,1913/07/20,11.8,
02GB001,1,1913/07/21,13.7,
02GB001,1,1913/07/22,12.2,
02GB001,1,1913/07/23,13.7,
02GB001,1,1913/07/24,12.3,
02GB001,1,1913/07/25,11.8,
02GB001,1,1913/07/26,11.8,
02GB001,1,1913/07/27,9.49,
02GB001,1,1913/07/28,11.3,
02GB001,1,1913/07/29,11.3,
02GB001,1,1913/07/30,11.8,
02GB001,1,1913/07/31,10.6,
02GB001,1,1913/08/01,7.08,
02GB001,1,1913/08/02,5.95,
02GB001,1,1913/08/03,7.08,
02GB001,1,1913/08/04,10.1,
02GB001,1,1913/08/05,8.07,
02GB001,1,1913/08/06,8.92,
02GB001,1,1913/08/07,9.63,
02GB001,1,1913/08/08,9.49,
02GB001,1,1913/08/09,11.8,
02GB001,1,1913/08/10,16.4,
02GB001,1,1913/08/11,23.2,
02GB001,1,1913/08/12,17.8,
02GB001,1,1913/08/13,16.4,
02GB001,1,1913/08/14,14.2,
02GB001,1,1913/08/15,12.7,
02GB001,1,1913/08/16,11.8,
02GB001,1,1913/08/17,10.6,
02GB001,1,1913/08/18,11.8,
02GB001,1,1913/08/19,10.1,
02GB001,1,1913/08/20,10.6,
02GB001,1,1913/08/21,9.63,
02GB001,1,1913/08/22,12.6,
02GB001,1,1913/08/23,12.6,
02GB001,1,1913/08/24,11.8,
02GB001,1,1913/08/25,13.7,
02GB001,1,1913/08/26,10.6,
02GB001,1,1913/08/27,10.1,
02GB001,1,1913/08/28,10.8,
02GB001,1,1913/08/29,12.2,
02GB001,1,1913/08/30,10.1,
02GB001,1,1913/08/31,10.8,
02GB001,1,1913/09/01,12.2,
02GB001,1,1913/09/02,12.2,
02GB001,1,1913/09/03,9.49,
02GB001,1,1913/09/04,12.2,
02GB001,1,1913/09/05,9.63,
02GB001,1,1913/09/06,8.50,
02GB001,1,1913/09/07,7.93,
02GB001,1,1913/09/08,10.5,
02GB001,1,1913/09/09,9.49,
02GB001,1,1913/09/10,9.63,
02GB001,1,1913/09/11,8.92,
02GB001,1,1913/09/12,8.92,
02GB001,1,1913/09/13,6.51,
02GB001,1,1913/09/14,6.51,
02GB001,1,1913/09/15,8.21,
02GB001,1,1913/09/16,8.92,
02GB001,1,1913/09/17,8.50,
02GB001,1,1913/09/18,8.50,
02GB001,1,1913/09/19,9.63,
02GB001,1,1913/09/20,8.50,
02GB001,1,1913/09/21,8.92,
02GB001,1,1913/09/22,9.63,
02GB001,1,1913/09/23,9.63,
02GB001,1,1913/09/24,10.6,
02GB001,1,1913/09/25,10.1,
